Date,Open,High,Low,Close,Volume,Name
2016-04-11,93.13,94.53,93.05,93.21,1110905,PVH
2016-04-12,93.0,93.75,91.39,93.62,1319121,PVH
2016-04-13,94.11,95.66,94.11,94.93,1138477,PVH
2016-04-14,94.93,95.73,94.5,94.93,636329,PVH
2016-04-15,94.81,96.27,94.66,95.37,756351,PVH
2016-04-18,94.73,96.5,94.43,95.43,657746,PVH
2016-04-19,95.89,95.94,94.01,95.25,864482,PVH
2016-04-20,94.94,96.03,94.32,95.59,595882,PVH
2016-04-21,96.12,97.51,95.26,96.37,702749,PVH
2016-04-22,96.8,97.56,95.6,96.08,709310,PVH
2016-04-25,95.49,95.53,94.53,95.24,672981,PVH
2016-04-26,95.69,97.7,95.62,97.69,751611,PVH
2016-04-27,97.32,98.22,97.0,97.85,517692,PVH
2016-04-28,97.62,97.86,95.21,95.51,568515,PVH
2016-04-29,95.76,95.93,93.91,95.6,899455,PVH
2016-05-02,96.0,97.16,94.14,96.91,523207,PVH
2016-05-03,96.42,96.9,95.7,95.95,752068,PVH
2016-05-04,95.44,96.26,94.9,95.54,733916,PVH
2016-05-05,95.08,95.33,91.19,91.5,1968276,PVH
2016-05-06,91.48,92.06,90.46,91.4,1236966,PVH
2016-05-09,91.51,92.66,90.8,91.65,536312,PVH
2016-05-10,91.38,92.92,89.83,89.96,1280764,PVH
2016-05-11,86.63,86.63,83.01,83.15,3034078,PVH
2016-05-12,84.06,85.07,82.1,84.16,3356587,PVH
2016-05-13,83.38,85.65,82.56,83.45,1379026,PVH
2016-05-16,83.92,86.3,83.21,85.75,1458667,PVH
2016-05-17,85.33,88.05,84.43,86.65,2212458,PVH
2016-05-18,85.95,86.71,84.85,85.96,1358954,PVH
2016-05-19,86.22,88.65,85.19,86.42,1035892,PVH
2016-05-20,86.92,89.2,85.64,88.96,1924840,PVH
2016-05-23,88.76,89.22,87.21,88.11,1275938,PVH
2016-05-24,88.25,89.68,87.9,89.02,1422625,PVH
2016-05-25,88.79,89.86,87.96,89.83,2066094,PVH
2016-05-26,96.13,96.67,93.52,93.73,3014368,PVH
2016-05-27,93.96,95.45,93.61,94.54,1320322,PVH
2016-05-31,94.07,94.54,93.08,93.8,1225481,PVH
2016-06-01,93.6,95.56,93.5,95.45,1141161,PVH
2016-06-02,95.33,97.33,94.98,97.33,1342697,PVH
2016-06-03,97.03,97.23,95.79,96.85,613810,PVH
2016-06-06,96.66,97.51,96.08,96.79,758446,PVH
2016-06-07,95.66,97.67,94.54,97.2,810218,PVH
2016-06-08,97.14,97.7,96.2,96.8,993523,PVH
2016-06-09,96.05,97.39,95.22,97.21,796135,PVH
2016-06-10,97.1,97.11,95.84,96.65,903888,PVH
2016-06-13,96.28,97.13,95.16,95.22,672943,PVH
2016-06-14,94.66,95.61,93.93,94.38,1347553,PVH
2016-06-15,95.33,99.5,95.0,97.38,1611487,PVH
2016-06-16,96.59,96.85,95.28,96.72,849494,PVH
2016-06-17,96.85,98.86,95.87,98.63,1101899,PVH
2016-06-20,99.05,101.85,99.04,100.44,962611,PVH
2016-06-21,101.15,101.63,100.14,101.48,698962,PVH
2016-06-22,101.15,102.77,100.68,100.77,781665,PVH
2016-06-23,101.86,103.36,101.76,102.74,818012,PVH
2016-06-24,97.13,98.36,93.31,93.55,2999115,PVH
2016-06-27,92.2,92.2,83.8,84.91,4366785,PVH
2016-06-28,87.51,89.75,87.51,89.58,2102520,PVH
2016-06-29,90.64,93.27,90.64,92.82,1688682,PVH
2016-06-30,92.68,94.33,92.05,94.23,1136461,PVH
2016-07-01,94.39,96.04,94.0,95.03,863211,PVH
2016-07-05,94.64,94.71,91.74,92.45,842080,PVH
2016-07-06,92.16,94.57,91.31,94.55,1067236,PVH
2016-07-07,94.62,95.6,93.56,94.91,894359,PVH
2016-07-08,96.15,98.2,95.8,97.32,970494,PVH
2016-07-11,97.85,98.87,97.43,97.75,644214,PVH
2016-07-12,98.87,99.99,98.79,99.4,1365197,PVH
2016-07-13,99.45,99.58,97.84,98.58,665383,PVH
2016-07-14,99.94,99.96,98.44,98.77,357779,PVH
2016-07-15,99.05,99.73,98.35,98.51,604074,PVH
2016-07-18,98.61,99.71,98.06,99.07,654112,PVH
2016-07-19,99.0,99.03,97.7,98.27,388510,PVH
2016-07-20,99.1,100.74,99.1,100.19,628124,PVH
2016-07-21,99.94,101.2,98.96,99.6,629243,PVH
2016-07-22,99.17,100.53,97.8,99.8,758981,PVH
2016-07-25,99.61,100.77,99.06,100.6,595332,PVH
2016-07-26,100.54,102.93,100.54,101.12,804497,PVH
2016-07-27,101.59,101.97,99.28,100.47,809606,PVH
2016-07-28,100.44,100.54,98.42,99.62,651875,PVH
2016-07-29,99.46,101.31,98.58,101.06,814210,PVH
2016-08-01,100.85,101.13,99.33,99.92,686623,PVH
2016-08-02,99.76,99.76,96.16,96.51,638148,PVH
2016-08-03,94.95,96.22,92.83,95.69,1347068,PVH
2016-08-04,96.1,98.0,96.1,96.47,661219,PVH
2016-08-05,97.35,99.18,96.58,98.63,817506,PVH
2016-08-08,99.06,100.38,98.22,98.5,589469,PVH
2016-08-09,98.0,98.14,96.4,96.59,607151,PVH
2016-08-10,97.78,99.55,97.25,98.14,626454,PVH
2016-08-11,101.94,103.9,99.75,103.05,1540573,PVH
2016-08-12,102.61,104.22,102.32,104.0,644731,PVH
2016-08-15,104.06,105.52,104.06,105.05,419869,PVH
2016-08-16,105.04,105.62,104.35,105.18,487937,PVH
2016-08-17,104.95,105.69,104.0,105.05,856756,PVH
2016-08-18,105.3,107.05,105.0,106.5,955300,PVH
2016-08-19,106.16,108.27,106.08,107.99,886058,PVH
2016-08-22,107.8,108.0,106.61,107.22,744071,PVH
2016-08-23,108.52,110.72,107.9,109.55,1294821,PVH
2016-08-24,110.0,110.01,107.53,108.82,1555576,PVH
2016-08-25,110.18,111.75,105.16,107.37,2452504,PVH
2016-08-26,107.93,110.18,106.6,107.58,1314862,PVH
2016-08-29,107.46,109.72,107.37,108.73,616157,PVH
2016-08-30,108.08,108.55,106.82,107.92,788785,PVH
2016-08-31,107.92,108.6,106.15,107.76,974387,PVH
2016-09-01,107.84,108.81,107.05,108.18,750109,PVH
2016-09-02,108.24,109.68,108.04,108.56,509651,PVH
2016-09-06,108.56,108.92,107.3,108.39,763492,PVH
2016-09-07,108.53,110.41,108.09,110.19,867049,PVH
2016-09-08,109.18,110.4,108.52,108.77,785031,PVH
2016-09-09,107.78,108.44,106.49,107.15,912281,PVH
2016-09-12,107.33,108.98,106.4,108.65,889645,PVH
2016-09-13,107.65,108.8,105.95,106.73,710892,PVH
2016-09-14,106.49,108.59,106.38,106.93,875645,PVH
2016-09-15,105.73,107.59,105.27,107.48,855427,PVH
2016-09-16,106.65,107.44,106.12,107.19,929373,PVH
2016-09-19,108.12,108.8,107.15,108.05,827789,PVH
2016-09-20,108.8,109.78,107.39,107.87,555954,PVH
2016-09-21,108.09,109.51,107.9,109.28,840108,PVH
2016-09-22,109.75,109.98,107.94,108.81,770006,PVH
2016-09-23,108.77,110.03,108.54,108.6,500457,PVH
2016-09-26,108.16,108.32,105.73,105.8,602711,PVH
2016-09-27,105.85,107.26,105.04,106.37,703390,PVH
2016-09-28,106.61,107.06,105.74,106.83,542024,PVH
2016-09-29,106.48,108.26,106.17,106.66,886777,PVH
2016-09-30,107.99,111.93,107.92,110.5,1612707,PVH
2016-10-03,110.29,112.61,109.73,111.54,1168989,PVH
2016-10-04,111.86,112.92,111.18,112.19,849774,PVH
2016-10-05,112.41,112.7,111.13,111.17,655112,PVH
2016-10-06,110.95,112.14,110.26,111.91,689157,PVH
2016-10-07,112.8,114.42,112.43,114.0,1182902,PVH
2016-10-10,114.42,115.4,113.82,113.97,1053433,PVH
2016-10-11,113.86,114.18,112.59,112.64,837720,PVH
2016-10-12,112.9,112.98,111.44,111.46,867882,PVH
2016-10-13,110.36,111.88,108.93,111.31,777502,PVH
2016-10-14,111.94,112.04,109.89,110.34,569797,PVH
2016-10-17,110.65,111.28,109.78,110.44,721260,PVH
2016-10-18,111.61,111.71,110.17,110.22,681275,PVH
2016-10-19,110.84,111.94,110.29,111.33,843529,PVH
2016-10-20,110.57,110.93,109.92,110.51,462134,PVH
2016-10-21,109.36,109.61,108.71,109.36,645345,PVH
2016-10-24,109.47,110.47,108.47,108.77,685359,PVH
2016-10-25,107.27,107.27,105.06,105.53,1377938,PVH
2016-10-26,105.16,106.46,105.16,105.57,890661,PVH
2016-10-27,105.95,106.3,104.92,105.1,913643,PVH
2016-10-28,105.82,106.68,105.0,105.89,809585,PVH
2016-10-31,105.9,107.12,105.1,106.98,791576,PVH
2016-11-01,107.57,108.43,105.59,106.53,749399,PVH
2016-11-02,105.59,108.2,105.59,106.73,820547,PVH
2016-11-03,107.28,107.28,102.74,102.87,1123407,PVH
2016-11-04,103.04,106.33,102.8,104.32,962786,PVH
2016-11-07,106.03,107.96,105.72,107.7,802141,PVH
2016-11-08,107.53,107.97,106.47,107.11,875833,PVH
2016-11-09,105.46,107.46,102.29,107.05,2116962,PVH
2016-11-10,108.21,114.88,107.32,112.3,1714648,PVH
2016-11-11,111.42,112.29,110.52,112.08,982694,PVH
2016-11-14,112.41,113.75,105.49,105.68,2115371,PVH
2016-11-15,105.8,108.99,104.72,108.6,1274328,PVH
2016-11-16,107.84,109.1,107.46,108.1,836363,PVH
2016-11-17,109.26,110.35,107.95,110.13,730308,PVH
2016-11-18,109.98,110.24,106.26,106.37,701617,PVH
2016-11-21,106.92,108.98,106.92,107.96,770358,PVH
2016-11-22,108.48,108.93,107.66,108.45,702691,PVH
2016-11-23,108.32,109.95,108.32,109.02,490159,PVH
2016-11-25,109.58,110.27,108.32,108.69,319373,PVH
2016-11-28,108.37,108.74,107.47,108.07,582608,PVH
2016-11-29,108.12,109.17,105.48,106.03,1083677,PVH
2016-11-30,106.37,107.36,105.39,105.94,1469397,PVH
2016-12-01,105.0,110.97,104.81,107.99,2462891,PVH
2016-12-02,107.48,107.51,102.08,102.45,1957041,PVH
2016-12-05,103.23,107.11,102.81,106.96,1755872,PVH
2016-12-06,106.55,106.73,104.61,106.49,1124828,PVH
2016-12-07,106.61,111.39,106.61,111.36,1469731,PVH
2016-12-08,112.49,113.21,108.0,108.24,1625539,PVH
2016-12-09,108.16,108.35,106.49,106.5,1189191,PVH
2016-12-12,106.73,107.08,101.32,102.4,1697650,PVH
2016-12-13,102.85,103.4,101.56,102.01,1309062,PVH
2016-12-14,102.12,102.5,99.74,100.02,1216571,PVH
2016-12-15,99.85,99.86,93.11,93.94,4061298,PVH
2016-12-16,94.37,94.5,91.86,91.98,3736692,PVH
2016-12-19,92.07,92.89,90.54,91.71,1566393,PVH
2016-12-20,92.59,93.82,91.44,92.42,1588266,PVH
2016-12-21,92.01,92.63,91.27,92.5,1390091,PVH
2016-12-22,92.13,92.61,90.14,90.36,1070893,PVH
2016-12-23,90.78,91.99,89.8,90.04,744489,PVH
2016-12-27,90.2,91.24,90.03,90.47,561382,PVH
2016-12-28,90.49,90.77,89.51,90.01,684200,PVH
2016-12-29,90.35,91.34,90.01,90.87,873521,PVH
2016-12-30,90.77,91.3,89.56,90.24,742851,PVH
2017-01-03,90.96,91.73,90.35,90.98,964562,PVH
2017-01-04,91.54,93.84,91.54,91.97,1432459,PVH
2017-01-05,90.6,93.08,89.96,92.96,2209705,PVH
2017-01-06,92.69,93.22,91.53,92.86,1174031,PVH
2017-01-09,93.07,93.07,91.83,92.26,917909,PVH
2017-01-10,92.76,94.46,92.19,93.85,1417866,PVH
2017-01-11,93.38,93.98,91.32,92.39,1023489,PVH
2017-01-12,91.87,93.24,91.6,93.13,834932,PVH
2017-01-13,93.14,93.8,88.71,89.31,2137985,PVH
2017-01-17,90.41,96.5,90.34,94.83,2998257,PVH
2017-01-18,94.53,94.98,91.65,93.36,1361152,PVH
2017-01-19,93.03,93.69,90.94,91.57,945865,PVH
2017-01-20,91.92,93.21,91.42,92.82,988495,PVH
2017-01-23,92.35,93.27,91.42,92.2,864520,PVH
2017-01-24,92.56,94.03,92.16,93.19,733303,PVH
2017-01-25,94.07,94.97,93.58,94.81,742418,PVH
2017-01-26,95.11,95.5,93.23,93.3,650072,PVH
2017-01-27,93.55,93.97,90.1,90.3,1052226,PVH
2017-01-30,90.1,92.32,89.19,92.28,924167,PVH
2017-01-31,90.62,93.97,90.1,93.81,1283818,PVH
2017-02-01,93.25,93.31,89.65,89.87,1592275,PVH
2017-02-02,88.6,90.76,88.1,89.4,1075373,PVH
2017-02-03,88.96,88.96,86.17,87.57,1727553,PVH
2017-02-06,87.65,89.35,87.13,88.43,770255,PVH
2017-02-07,88.04,88.35,85.18,85.48,1850088,PVH
2017-02-08,85.68,87.21,84.53,87.19,2845774,PVH
2017-02-09,87.66,89.19,87.16,87.19,1368807,PVH
2017-02-10,88.08,90.33,87.71,90.12,1527722,PVH
2017-02-13,90.17,90.64,88.87,88.93,959552,PVH
2017-02-14,88.91,91.53,88.91,90.26,1123915,PVH
2017-02-15,89.99,90.44,89.33,89.86,957899,PVH
2017-02-16,90.25,90.29,88.06,88.37,909385,PVH
2017-02-17,88.19,90.65,88.19,90.32,1239062,PVH
2017-02-21,90.25,91.52,90.01,90.25,737656,PVH
2017-02-22,90.26,91.48,90.02,91.39,694122,PVH
2017-02-23,91.46,93.0,90.48,90.76,1585582,PVH
2017-02-24,90.63,93.32,89.99,91.57,2207987,PVH
2017-02-27,91.44,92.93,91.44,92.33,730295,PVH
2017-02-28,91.94,92.43,90.92,91.6,963219,PVH
2017-03-01,92.48,92.82,90.97,92.24,1134341,PVH
2017-03-02,92.06,92.37,90.96,91.92,1264082,PVH
2017-03-03,92.29,92.86,89.76,90.09,954656,PVH
2017-03-06,89.91,90.8,89.54,90.2,1334603,PVH
2017-03-07,89.57,90.32,88.89,89.75,685779,PVH
2017-03-08,90.17,91.73,89.83,91.39,654034,PVH
2017-03-09,91.19,91.83,90.5,91.14,653621,PVH
2017-03-10,91.58,92.37,90.93,91.12,824298,PVH
2017-03-13,91.52,91.98,90.06,90.93,788075,PVH
2017-03-14,91.2,92.33,91.11,91.52,753841,PVH
2017-03-15,92.12,92.8,90.72,92.39,1152128,PVH
2017-03-16,92.28,95.19,91.52,93.83,1365916,PVH
2017-03-17,94.36,95.0,93.0,94.65,1249482,PVH
2017-03-20,94.45,94.94,92.87,93.58,923774,PVH
2017-03-21,93.57,93.93,91.34,92.68,1373472,PVH
2017-03-22,92.39,92.6,89.52,90.85,2385843,PVH
2017-03-23,99.4,100.0,97.45,98.55,4915302,PVH
2017-03-24,100.17,102.11,98.88,100.94,2520501,PVH
2017-03-27,100.34,102.51,100.15,101.5,1705933,PVH
2017-03-28,101.63,103.12,101.52,102.69,1057520,PVH
2017-03-29,101.82,104.28,101.15,103.84,1049469,PVH
2017-03-30,103.42,104.28,102.11,103.62,755890,PVH
2017-03-31,103.53,103.91,102.97,103.47,774454,PVH
2017-04-03,103.48,104.25,102.67,103.18,793719,PVH
2017-04-04,103.54,104.01,101.36,101.78,956526,PVH
2017-04-05,101.96,103.6,101.48,101.98,822289,PVH
2017-04-06,102.38,103.84,101.67,101.97,853896,PVH
2017-04-07,101.92,102.87,101.7,101.9,1326911,PVH
2017-04-10,102.03,103.71,101.55,101.64,781523,PVH
2017-04-11,101.7,101.84,100.66,101.36,852227,PVH
2017-04-12,101.27,101.85,100.82,101.21,974004,PVH
2017-04-13,101.42,101.96,99.47,99.81,1329956,PVH
2017-04-17,100.03,100.54,99.57,99.94,1117732,PVH
2017-04-18,99.52,100.57,99.0,99.52,886530,PVH
2017-04-19,99.94,100.49,99.33,99.45,811937,PVH
2017-04-20,100.02,101.56,99.82,101.41,1497033,PVH
2017-04-21,100.71,101.09,98.04,98.26,1521492,PVH
2017-04-24,100.02,102.94,99.95,102.31,1954910,PVH
2017-04-25,102.42,103.17,101.44,102.87,1098127,PVH
2017-04-26,103.1,104.72,102.8,103.45,868509,PVH
2017-04-27,103.41,103.9,102.39,103.02,702845,PVH
2017-04-28,102.79,102.79,100.22,101.03,826447,PVH
2017-05-01,101.02,101.61,99.84,100.08,506371,PVH
2017-05-02,100.71,101.62,100.23,101.6,754286,PVH
2017-05-03,101.42,101.86,99.85,100.91,714344,PVH
2017-05-04,101.51,101.8,100.23,101.16,789935,PVH
2017-05-05,101.16,103.0,101.11,102.6,734482,PVH
2017-05-08,103.31,103.4,102.22,102.39,527218,PVH
2017-05-09,102.82,103.44,102.31,102.76,957252,PVH
2017-05-10,102.28,103.44,101.32,103.31,750452,PVH
2017-05-11,101.98,102.66,99.95,100.93,1064950,PVH
2017-05-12,100.19,100.72,98.56,100.19,886137,PVH
2017-05-15,100.24,101.0,100.23,100.49,796066,PVH
2017-05-16,99.97,100.52,98.78,99.09,1188802,PVH
2017-05-17,98.8,99.15,97.38,97.47,1159487,PVH
2017-05-18,97.87,100.37,97.11,99.09,1498511,PVH
2017-05-19,99.12,101.06,96.85,100.41,1583004,PVH
2017-05-22,101.37,102.72,100.98,102.12,1455978,PVH
2017-05-23,103.0,104.5,102.09,102.38,1667341,PVH
2017-05-24,102.23,102.4,100.37,102.04,2436554,PVH
2017-05-25,107.59,109.01,105.95,106.98,3913384,PVH
2017-05-26,106.56,107.05,105.28,105.29,1337756,PVH
2017-05-30,106.25,107.0,105.03,105.59,1420599,PVH
2017-05-31,105.89,106.06,104.35,105.95,1278626,PVH
2017-06-01,106.04,107.57,105.74,106.21,984387,PVH
2017-06-02,106.43,106.69,105.06,105.96,673147,PVH
2017-06-05,105.74,105.98,104.56,105.21,1174242,PVH
2017-06-06,104.52,105.07,103.48,103.65,963106,PVH
2017-06-07,103.53,103.83,102.05,103.18,988489,PVH
2017-06-08,103.59,104.14,102.89,103.16,638964,PVH
2017-06-09,103.3,105.98,102.81,105.59,751960,PVH
2017-06-12,105.37,107.25,105.3,106.2,1115002,PVH
2017-06-13,106.27,106.27,105.12,105.61,752530,PVH
2017-06-14,106.05,106.58,105.26,106.43,694931,PVH
2017-06-15,104.92,105.92,104.76,105.66,711046,PVH
2017-06-16,105.48,105.74,104.68,105.13,980834,PVH
2017-06-19,105.26,105.81,104.34,105.72,611602,PVH
2017-06-20,105.6,105.6,104.51,104.89,769648,PVH
2017-06-21,104.53,105.52,104.45,105.07,826800,PVH
2017-06-22,105.6,110.12,105.58,109.07,1628947,PVH
2017-06-23,108.71,110.59,108.06,110.48,1386908,PVH
2017-06-26,111.06,112.8,111.06,112.33,1243577,PVH
2017-06-27,112.44,112.96,111.93,112.48,901583,PVH
2017-06-28,113.05,115.86,112.78,113.37,1227037,PVH
2017-06-29,113.6,114.52,112.74,113.78,1086520,PVH
2017-06-30,114.96,115.42,114.09,114.5,995439,PVH
2017-07-03,114.45,115.17,114.23,114.84,561475,PVH
2017-07-05,114.64,114.82,112.91,113.45,801623,PVH
2017-07-06,113.04,113.24,110.59,110.88,850480,PVH
2017-07-07,111.34,112.58,111.3,112.17,431258,PVH
2017-07-10,112.0,113.13,111.48,112.0,685072,PVH
2017-07-11,111.89,112.51,110.76,111.76,704569,PVH
2017-07-12,112.27,112.99,111.68,111.83,686001,PVH
2017-07-13,112.28,113.7,111.52,113.29,1037572,PVH
2017-07-14,113.67,113.7,112.06,112.56,568094,PVH
2017-07-17,112.95,114.51,112.74,113.61,545462,PVH
2017-07-18,113.7,114.12,112.17,112.94,550868,PVH
2017-07-19,113.3,114.28,112.78,114.07,445181,PVH
2017-07-20,114.39,116.19,113.8,115.75,858633,PVH
2017-07-21,115.87,117.67,115.38,116.98,714091,PVH
2017-07-24,117.24,117.24,116.07,116.52,658550,PVH
2017-07-25,116.76,119.72,116.27,118.73,765455,PVH
2017-07-26,118.73,118.9,117.51,118.41,560458,PVH
2017-07-27,118.51,119.96,118.2,119.16,629401,PVH
2017-07-28,119.28,120.49,118.57,119.94,914275,PVH
2017-07-31,,,,119.29,697166,PVH
2017-08-01,119.41,120.14,118.45,120.01,475414,PVH
2017-08-02,119.7,120.99,119.42,119.73,557362,PVH
2017-08-03,120.0,121.61,119.61,121.27,654650,PVH
2017-08-04,121.3,122.75,121.3,122.1,760298,PVH
2017-08-07,123.04,124.95,122.14,124.09,675357,PVH
2017-08-08,125.84,126.11,124.09,124.3,845951,PVH
2017-08-09,123.58,124.7,123.14,124.11,610477,PVH
2017-08-10,123.42,123.79,121.42,121.63,857844,PVH
2017-08-11,121.35,124.31,121.09,123.88,686327,PVH
