Date,Open,High,Low,Close,Volume,Name
2013-06-10,86.81,86.95,86.22,86.56,344957,LLL
2013-06-11,85.59,86.62,85.5,86.06,338649,LLL
2013-06-12,86.71,87.38,85.91,85.96,419069,LLL
2013-06-13,85.98,86.56,85.6,85.8,754918,LLL
2013-06-14,85.87,86.45,85.5,86.04,318332,LLL
2013-06-17,86.5,87.04,86.1,86.45,335127,LLL
2013-06-18,86.61,87.0,86.38,86.8,421523,LLL
2013-06-19,86.87,86.98,85.28,85.28,363250,LLL
2013-06-20,84.72,85.28,84.07,84.13,486041,LLL
2013-06-21,84.66,84.92,83.78,84.17,554463,LLL
2013-06-24,83.51,83.8,82.6,82.89,517512,LLL
2013-06-25,83.56,83.56,82.63,83.2,1045548,LLL
2013-06-26,83.88,84.98,83.47,84.64,320274,LLL
2013-06-27,85.22,86.4,84.93,86.03,355079,LLL
2013-06-28,85.99,86.52,85.5,85.74,486586,LLL
2013-07-01,86.58,87.22,86.09,86.74,392989,LLL
2013-07-02,86.4,86.75,84.65,85.06,559932,LLL
2013-07-03,84.5,85.96,84.5,85.6,211621,LLL
2013-07-05,85.92,87.11,85.92,87.09,219769,LLL
2013-07-08,87.44,88.15,86.95,86.98,1159039,LLL
2013-07-09,87.62,88.76,87.0,88.57,669053,LLL
2013-07-10,88.33,89.97,88.29,89.83,795690,LLL
2013-07-11,90.36,90.71,89.92,90.2,560596,LLL
2013-07-12,90.02,90.46,89.18,90.22,794124,LLL
2013-07-15,90.35,90.94,90.05,90.86,413030,LLL
2013-07-16,91.01,91.35,90.22,90.25,755206,LLL
2013-07-17,90.44,91.18,90.44,91.14,485759,LLL
2013-07-18,91.15,92.07,91.02,91.84,380655,LLL
2013-07-19,91.87,92.42,91.68,92.37,523333,LLL
2013-07-22,92.33,92.5,92.04,92.39,425854,LLL
2013-07-23,92.7,93.26,92.2,93.0,965533,LLL
2013-07-24,93.34,93.75,92.53,92.59,663337,LLL
2013-07-25,92.5,92.9,91.27,92.04,923996,LLL
2013-07-26,92.0,92.22,91.55,92.15,819575,LLL
2013-07-29,91.4,92.47,90.8,91.95,781922,LLL
2013-07-30,92.5,92.82,91.68,92.54,526390,LLL
2013-07-31,92.84,93.91,92.68,93.15,592967,LLL
2013-08-01,94.0,94.17,93.28,93.53,709687,LLL
2013-08-02,93.59,94.32,93.22,94.32,467691,LLL
2013-08-05,94.09,94.14,93.06,93.55,689408,LLL
2013-08-06,93.54,93.7,92.81,93.03,656976,LLL
2013-08-07,92.96,93.55,92.65,93.19,557219,LLL
2013-08-08,92.55,93.95,92.55,93.52,416846,LLL
2013-08-09,93.5,93.71,92.38,92.89,480173,LLL
2013-08-12,92.8,93.19,92.5,92.95,446742,LLL
2013-08-13,93.1,93.31,92.29,93.31,626560,LLL
2013-08-14,93.25,93.42,92.53,92.6,545452,LLL
2013-08-15,91.77,92.04,91.09,91.43,474789,LLL
2013-08-16,91.26,92.05,91.15,91.2,654816,LLL
2013-08-19,91.05,92.19,91.04,91.5,394753,LLL
2013-08-20,91.49,92.74,91.49,92.1,417779,LLL
2013-08-21,92.0,92.06,91.31,91.37,393885,LLL
2013-08-22,91.49,92.49,91.49,92.3,235072,LLL
2013-08-23,92.45,92.74,92.09,92.65,389308,LLL
2013-08-26,92.59,93.17,92.2,92.27,252552,LLL
2013-08-27,91.7,92.35,90.55,90.72,559023,LLL
2013-08-28,90.71,91.41,90.39,91.09,371317,LLL
2013-08-29,90.89,91.5,90.69,90.98,287540,LLL
2013-08-30,91.26,91.26,90.07,90.33,311195,LLL
2013-09-03,91.0,91.88,90.23,90.56,477115,LLL
2013-09-04,90.62,91.5,90.52,91.25,382049,LLL
2013-09-05,91.16,91.67,90.8,91.47,337398,LLL
2013-09-06,91.6,91.63,90.16,91.19,519485,LLL
2013-09-09,91.3,92.14,91.27,92.12,397853,LLL
2013-09-10,92.44,93.24,92.12,92.88,372142,LLL
2013-09-11,92.92,94.18,92.68,94.17,478421,LLL
2013-09-12,94.17,94.75,93.78,93.96,430822,LLL
2013-09-13,93.91,94.34,93.29,94.25,205766,LLL
2013-09-16,95.27,95.98,94.63,95.76,430756,LLL
2013-09-17,95.75,96.06,95.41,95.99,302085,LLL
2013-09-18,96.07,96.32,94.71,96.09,426987,LLL
2013-09-19,96.1,96.59,96.0,96.07,306564,LLL
2013-09-20,96.26,96.28,94.88,95.22,713316,LLL
2013-09-23,94.76,95.15,94.06,94.51,436678,LLL
2013-09-24,94.65,95.89,94.51,95.52,433860,LLL
2013-09-25,95.45,96.71,95.26,95.93,766945,LLL
2013-09-26,95.9,96.29,95.51,95.91,432356,LLL
2013-09-27,95.25,95.74,95.01,95.43,245968,LLL
2013-09-30,94.81,94.89,94.21,94.5,416388,LLL
2013-10-01,94.5,95.39,94.4,95.33,377141,LLL
2013-10-02,94.74,94.86,93.24,93.93,406757,LLL
2013-10-03,93.64,93.93,91.74,92.67,652438,LLL
2013-10-04,92.69,93.04,92.23,92.88,239308,LLL
2013-10-07,92.88,93.29,92.26,92.65,336802,LLL
2013-10-08,92.83,93.44,91.96,91.99,331401,LLL
2013-10-09,92.13,92.45,91.48,91.94,346013,LLL
2013-10-10,92.56,93.56,92.56,93.56,790352,LLL
2013-10-11,93.35,93.97,93.35,93.94,550348,LLL
2013-10-14,93.65,95.16,93.14,94.98,383812,LLL
2013-10-15,94.67,95.5,93.7,93.71,498862,LLL
2013-10-16,94.22,94.44,93.72,94.06,469139,LLL
2013-10-17,93.97,94.55,93.72,94.38,586267,LLL
2013-10-18,95.5,95.5,94.41,94.77,404931,LLL
2013-10-21,94.9,94.97,94.15,94.4,321026,LLL
2013-10-22,94.74,95.57,94.45,95.0,546105,LLL
2013-10-23,95.13,96.0,94.56,95.98,574567,LLL
2013-10-24,96.05,96.42,95.37,96.29,361985,LLL
2013-10-25,96.25,97.67,95.63,97.53,681364,LLL
2013-10-28,97.18,97.58,96.74,97.1,720596,LLL
2013-10-29,97.26,98.05,95.59,97.98,1067244,LLL
2013-10-30,98.31,100.5,98.1,99.45,1392448,LLL
2013-10-31,99.33,100.89,98.89,100.45,956484,LLL
2013-11-01,100.59,101.45,100.1,100.76,720386,LLL
2013-11-04,101.0,101.24,100.46,100.84,533385,LLL
2013-11-05,100.73,101.32,100.26,101.05,676227,LLL
2013-11-06,101.13,102.32,101.13,102.28,620816,LLL
2013-11-07,102.28,102.73,100.79,100.86,600750,LLL
2013-11-08,100.86,101.62,100.78,101.5,607061,LLL
2013-11-11,101.5,101.64,101.15,101.35,394750,LLL
2013-11-12,101.41,101.75,101.0,101.24,401538,LLL
2013-11-13,101.02,101.93,100.58,101.87,349063,LLL
2013-11-14,101.53,102.22,100.79,101.96,348385,LLL
2013-11-15,101.94,102.04,101.11,101.95,391644,LLL
2013-11-18,102.31,103.41,102.31,102.86,465923,LLL
2013-11-19,102.63,102.92,101.55,101.78,668231,LLL
2013-11-20,101.78,102.55,101.09,101.36,568900,LLL
2013-11-21,101.78,102.25,101.18,101.86,545198,LLL
2013-11-22,101.87,102.44,101.86,102.34,741283,LLL
2013-11-25,102.45,102.45,101.86,102.37,603294,LLL
2013-11-26,102.5,103.45,102.26,103.01,576085,LLL
2013-11-27,103.27,103.87,102.77,103.48,441360,LLL
2013-11-29,103.5,103.85,103.22,103.46,276882,LLL
2013-12-02,103.46,103.77,102.98,103.19,695493,LLL
2013-12-03,102.9,103.53,102.27,102.68,487299,LLL
2013-12-04,102.4,102.65,100.63,101.58,764393,LLL
2013-12-05,101.58,101.67,100.58,100.81,582480,LLL
2013-12-06,101.47,101.96,101.39,101.8,582151,LLL
2013-12-09,102.0,102.23,101.72,101.95,655847,LLL
2013-12-10,101.72,102.46,101.25,102.38,722471,LLL
2013-12-11,102.4,102.75,100.67,100.88,570101,LLL
2013-12-12,100.61,101.5,100.61,101.3,511466,LLL
2013-12-13,101.61,102.35,101.15,102.23,436579,LLL
2013-12-16,102.23,103.4,102.02,103.02,909205,LLL
2013-12-17,103.27,103.46,102.05,102.39,469855,LLL
2013-12-18,102.42,104.9,102.17,104.78,830859,LLL
2013-12-19,104.55,104.9,103.8,104.57,633623,LLL
2013-12-20,105.19,106.13,104.8,105.49,1014556,LLL
2013-12-23,105.65,106.24,105.61,106.03,353201,LLL
2013-12-24,105.82,106.95,105.82,106.73,175141,LLL
2013-12-26,106.84,107.62,106.73,107.13,453200,LLL
2013-12-27,108.6,108.69,107.07,107.12,254018,LLL
2013-12-30,107.39,107.53,106.38,106.78,371261,LLL
2013-12-31,106.87,107.13,106.66,106.86,323395,LLL
2014-01-02,106.07,106.28,104.94,105.08,720066,LLL
2014-01-03,105.13,105.85,105.03,105.38,369001,LLL
2014-01-06,105.66,106.11,105.01,105.58,564432,LLL
2014-01-07,104.22,105.56,103.99,104.74,717239,LLL
2014-01-08,104.64,105.71,104.04,105.46,615270,LLL
2014-01-09,106.91,107.4,106.05,106.29,660895,LLL
2014-01-10,106.4,106.69,105.85,106.32,551775,LLL
2014-01-13,106.56,106.94,105.48,105.66,460340,LLL
2014-01-14,105.91,106.38,105.46,106.14,403270,LLL
2014-01-15,106.4,107.7,106.34,107.28,438633,LLL
2014-01-16,106.67,107.28,106.5,107.0,304816,LLL
2014-01-17,107.04,107.61,106.91,107.57,418155,LLL
2014-01-21,107.58,108.83,107.57,108.34,533653,LLL
2014-01-22,108.69,108.94,107.79,108.62,569185,LLL
2014-01-23,108.49,108.57,107.21,107.71,611675,LLL
2014-01-24,106.79,106.9,104.16,104.17,774171,LLL
2014-01-27,104.41,104.41,102.84,103.71,648162,LLL
2014-01-28,103.79,104.64,103.74,104.47,570758,LLL
2014-01-29,103.49,104.18,102.94,103.72,628834,LLL
2014-01-30,104.51,105.43,103.42,105.41,1234065,LLL
2014-01-31,104.6,111.59,104.33,111.07,1910666,LLL
2014-02-03,110.25,111.89,108.33,108.62,1879566,LLL
2014-02-04,108.67,108.99,106.67,108.33,1085287,LLL
2014-02-05,107.7,109.47,106.9,108.96,825532,LLL
2014-02-06,108.96,109.99,108.91,109.61,484734,LLL
2014-02-07,111.83,113.95,110.74,113.02,1292834,LLL
2014-02-10,112.83,113.04,111.67,112.4,697102,LLL
2014-02-11,112.75,113.24,112.37,112.54,1475296,LLL
2014-02-12,112.45,113.83,112.45,113.12,680697,LLL
2014-02-13,112.73,113.6,112.36,113.08,901913,LLL
2014-02-14,113.19,113.63,112.34,113.5,581714,LLL
2014-02-18,113.77,114.95,113.23,114.82,862913,LLL
2014-02-19,114.0,115.19,113.4,113.67,1279109,LLL
2014-02-20,113.84,115.9,113.34,115.65,581342,LLL
2014-02-21,115.7,116.49,114.88,115.58,760185,LLL
2014-02-24,115.24,117.47,115.2,116.3,1016297,LLL
2014-02-25,115.53,116.0,113.63,113.84,1450828,LLL
2014-02-26,114.0,114.41,113.21,113.98,715160,LLL
2014-02-27,112.41,113.87,112.41,113.82,653582,LLL
2014-02-28,113.42,115.9,113.42,115.4,777205,LLL
2014-03-03,114.89,116.46,114.59,116.01,748509,LLL
2014-03-04,116.54,118.16,116.54,117.49,948358,LLL
2014-03-05,117.49,118.47,116.78,117.16,1442763,LLL
2014-03-06,117.36,117.67,116.88,117.12,1241694,LLL
2014-03-07,117.78,118.23,116.82,117.25,1084112,LLL
2014-03-10,116.5,116.68,115.46,116.19,1035368,LLL
2014-03-11,116.52,116.52,114.83,115.07,622813,LLL
2014-03-12,114.81,115.54,114.26,115.46,847895,LLL
2014-03-13,115.91,116.23,113.95,114.34,702765,LLL
2014-03-14,114.21,115.99,113.78,115.3,776097,LLL
2014-03-17,115.7,117.41,115.61,117.06,469679,LLL
2014-03-18,118.0,118.8,117.44,117.7,509295,LLL
2014-03-19,117.97,117.99,115.47,116.43,531450,LLL
2014-03-20,115.89,117.11,115.89,116.06,501796,LLL
2014-03-21,117.09,117.09,115.69,116.01,1367212,LLL
2014-03-24,116.01,116.38,114.77,115.82,433235,LLL
2014-03-25,116.25,116.9,115.45,116.18,811589,LLL
2014-03-26,117.07,118.6,117.07,117.27,1540022,LLL
2014-03-27,117.42,117.42,116.16,116.51,780086,LLL
2014-03-28,116.73,118.02,116.67,117.41,354126,LLL
2014-03-31,117.57,118.7,117.52,118.15,1409304,LLL
2014-04-01,118.5,119.16,118.04,118.79,991415,LLL
2014-04-02,119.22,120.26,119.05,120.2,1298849,LLL
2014-04-03,119.95,120.15,119.41,119.91,675506,LLL
2014-04-04,120.31,120.67,116.19,116.34,1286478,LLL
2014-04-07,116.5,117.3,114.41,114.96,854334,LLL
2014-04-08,114.92,115.08,113.39,114.73,717409,LLL
2014-04-09,115.31,116.84,114.96,116.64,1327103,LLL
2014-04-10,116.77,116.98,114.02,114.23,717793,LLL
2014-04-11,113.98,114.96,113.54,113.66,681268,LLL
2014-04-14,114.26,115.12,113.4,114.27,602422,LLL
2014-04-15,114.67,116.68,114.15,116.53,754350,LLL
2014-04-16,117.0,117.3,115.88,117.03,574742,LLL
2014-04-17,116.9,118.07,116.9,117.73,447894,LLL
2014-04-21,118.14,118.31,117.38,117.84,857483,LLL
2014-04-22,117.91,118.48,116.74,116.75,639587,LLL
2014-04-23,116.99,117.84,116.35,117.5,594283,LLL
2014-04-24,117.79,118.24,115.42,116.46,693829,LLL
2014-04-25,116.29,116.29,114.9,115.27,464942,LLL
2014-04-28,116.01,116.16,113.58,114.69,923480,LLL
2014-04-29,115.67,116.22,114.92,115.59,720350,LLL
2014-04-30,115.47,116.16,114.65,115.37,829645,LLL
2014-05-01,115.0,115.84,113.01,114.68,991663,LLL
2014-05-02,114.44,114.87,113.16,113.38,1297908,LLL
2014-05-05,113.84,114.83,113.28,114.33,960433,LLL
2014-05-06,114.15,114.43,113.62,113.8,627573,LLL
2014-05-07,114.2,115.53,113.55,115.41,580904,LLL
2014-05-08,115.58,116.31,114.74,114.89,586056,LLL
2014-05-09,114.63,115.17,113.96,114.55,687003,LLL
2014-05-12,115.15,116.07,114.94,115.85,409586,LLL
2014-05-13,115.97,121.43,115.97,121.06,4684100,LLL
2014-05-14,120.16,120.95,117.7,117.95,2843746,LLL
2014-05-15,116.99,117.42,115.56,116.35,1960924,LLL
2014-05-16,117.3,117.58,114.75,114.87,1955849,LLL
2014-05-19,114.51,115.15,113.7,114.8,1116825,LLL
2014-05-20,114.75,115.2,114.08,114.51,1006807,LLL
2014-05-21,115.28,115.73,114.2,115.01,830535,LLL
2014-05-22,115.0,116.25,114.58,116.19,813726,LLL
2014-05-23,116.17,117.77,116.01,117.74,949159,LLL
2014-05-27,117.91,118.45,117.32,118.43,804641,LLL
2014-05-28,118.64,119.44,118.54,118.97,866743,LLL
2014-05-29,118.99,120.42,118.72,120.41,928561,LLL
2014-05-30,120.04,121.24,119.72,121.17,1061092,LLL
2014-06-02,121.09,121.75,120.53,121.63,1066915,LLL
2014-06-03,121.33,122.46,121.07,122.35,1124065,LLL
2014-06-04,122.11,123.12,121.85,123.04,1043139,LLL
2014-06-05,123.43,125.05,123.05,124.88,909655,LLL
2014-06-06,125.0,125.84,124.99,125.58,842575,LLL
2014-06-09,125.42,127.27,125.02,126.76,1022156,LLL
2014-06-10,126.28,127.0,125.39,126.13,1054714,LLL
2014-06-11,126.0,126.18,125.32,125.82,864887,LLL
2014-06-12,125.45,126.3,124.62,125.21,789071,LLL
2014-06-13,125.2,125.84,124.76,125.56,796139,LLL
2014-06-16,125.33,125.8,124.62,125.03,920328,LLL
2014-06-17,125.15,125.15,123.4,124.12,936337,LLL
