#Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP
"Schizosaccharomyces pombe","Eukaryota;Fungi;Ascomycetes","972h-","SAMEA3138176","PRJNA13836","GCA_000002945.2"," Chromosome",12.5913,36.0381,"chromosome I:NC_003424.3/CU329670.1; chromosome II:NC_003423.3/CU329671.1; chromosome III:NC_003421.2/CU329672.1; mitochondrion MT:NC_001326.1/X54421.1",,4,5132,"2002-02-28T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/002/945/GCA_000002945.2_ASM294v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/945/GCF_000002945.1_ASM294v2"
"Saccharomyces cerevisiae S288C","Eukaryota;Fungi;Ascomycetes","S288C","","PRJNA43747","GCA_000146045.2","Complete",12.1571,38.1556,"chromosome I:NC_001133.9/BK006935.2; chromosome II:NC_001134.8/BK006936.2; chromosome III:NC_001135.5/BK006937.2; chromosome IV:NC_001136.10/BK006938.2; chromosome V:NC_001137.3/BK006939.2; chromosome VI:NC_001138.5/BK006940.2; chromosome VII:NC_001139.9/BK006941.2; chromosome VIII:NC_001140.6/BK006934.2; chromosome IX:NC_001141.2/BK006942.2; chromosome X:NC_001142.9/BK006943.2; chromosome XI:NC_001143.9/BK006944.2; chromosome XII:NC_001144.5/BK006945.2; chromosome XIII:NC_001145.3/BK006946.2; chromosome XIV:NC_001146.8/BK006947.3; chromosome XV:NC_001147.6/BK006948.2; chromosome XVI:NC_001148.4/BK006949.2; mitochondrion MT:NC_001224.1/KP263414.1",,17,6002,"1999-11-08T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/146/045/GCA_000146045.2_R64","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/146/045/GCF_000146045.2_R64"
"Phanerochaete chrysosporium","Eukaryota;Fungi;Basidiomycetes","ATCC 20696","SAMN05790961","PRJNA343563","GCA_001910725.1","Contig",39.2051,56.5,,"MJGA01",174,0,"2016-12-20T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/910/725/GCA_001910725.1_ASM191072v1",
"Candida albicans SC5314","Eukaryota;Fungi;Ascomycetes","SC5314","SAMN02953594","PRJNA10701","GCA_000182965.3"," Chromosome",14.2827,33.4827,"chromosome 1:NC_032089.1/CP017623.1; chromosome 2:NC_032090.1/CP017624.1; chromosome 3:NC_032091.1/CP017625.1; chromosome 4:NC_032092.1/CP017626.1; chromosome 5:NC_032093.1/CP017627.1; chromosome 6:NC_032094.1/CP017628.1; chromosome 7:NC_032095.1/CP017629.1; chromosome R:NC_032096.1/CP017630.1",,8,6030,"2016-10-12T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/182/965/GCA_000182965.3_ASM18296v3","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/182/965/GCF_000182965.3_ASM18296v3"
"Aspergillus nidulans FGSC A4","Eukaryota;Fungi;Ascomycetes","FGSC A4","SAMN02953587","PRJNA130","GCA_000149205.2","Scaffold",30.276,50.2721,"mitochondrion MT:NC_017896.1/JQ435097.1","AACD01",91,9561,"2003-04-07T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/149/205/GCA_000149205.2_ASM14920v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/149/205/GCF_000149205.2_ASM14920v2"
"Aspergillus fumigatus Af293","Eukaryota;Fungi;Ascomycetes","Af293","SAMN00115746","PRJNA131","GCA_000002655.1"," Chromosome",29.385,49.8105,"chromosome 1:NC_007194.1/CM000169.1; chromosome 2:NC_007195.1/CM000170.1; chromosome 3:NC_007196.1/CM000171.1; chromosome 4:NC_007197.1/CM000172.1; chromosome 5:NC_007198.1/CM000173.1; chromosome 6:NC_007199.1/CM000174.1; chromosome 7:NC_007200.1/CM000175.1; chromosome 8:NC_007201.1/CM000176.1","AAHF01",8,19260,"2005-06-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/002/655/GCA_000002655.1_ASM265v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/655/GCF_000002655.1_ASM265v1"
"Neurospora crassa OR74A","Eukaryota;Fungi;Ascomycetes","OR74A","SAMN02953583","PRJNA13841","GCA_000182925.2"," Chromosome",41.1024,48.2319,"linkage group I:NC_026501.1/CM002236.1; linkage group II:NC_026502.1/CM002237.1; linkage group III:NC_026503.1/CM002238.1; linkage group IV:NC_026504.1/CM002239.1; linkage group V:NC_026505.1/CM002240.1; linkage group VI:NC_026506.1/CM002241.1; linkage group VII:NC_026507.1/CM002242.1; mitochondrion MT:NC_026614.1/KC683708.1","AABX03",21,10812,"2003-03-12T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/182/925/GCA_000182925.2_NC12","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/182/925/GCF_000182925.2_NC12"
"Leishmania major strain Friedlin","Eukaryota;Protists;Kinetoplasts","Friedlin","SAMEA3138173","PRJNA10724","GCA_000002725.2","Complete",32.8551,59.7114,"chromosome 1:NC_001905.3/FR796397.1; chromosome 2:NC_007244.2/FR796398.1; chromosome 3:NC_004916.2/FR796399.1; chromosome 4:NC_007245.2/FR796400.1; chromosome 5:NC_007246.2/FR796401.1; chromosome 6:NC_007247.2/FR796402.1; chromosome 7:NC_007248.2/FR796403.1; chromosome 8:NC_007249.2/FR796404.1; chromosome 9:NC_007250.2/FR796405.1; chromosome 10:NC_007251.2/FR796406.1; chromosome 11:NC_007252.2/FR796407.1; chromosome 12:NC_007253.2/FR796408.1; chromosome 13:NC_007254.2/FR796409.1; chromosome 14:NC_007255.2/FR796410.1; chromosome 15:NC_007256.2/FR796411.1; chromosome 16:NC_007257.2/FR796412.1; chromosome 17:NC_007258.2/FR796413.1; chromosome 18:NC_007259.2/FR796414.1; chromosome 19:NC_007260.2/FR796415.1; chromosome 20:NC_007261.2/FR796416.1; chromosome 21:NC_007262.2/FR796417.1; chromosome 22:NC_007263.2/FR796418.1; chromosome 23:NC_007264.2/FR796419.1; chromosome 24:NC_007265.2/FR796420.1; chromosome 25:NC_007266.2/FR796421.1; chromosome 26:NC_007267.2/FR796422.1; chromosome 27:NC_007268.2/FR796423.1; chromosome 28:NC_007269.2/FR796424.1; chromosome 29:NC_007270.2/FR796425.1; chromosome 30:NC_007271.2/FR796426.1; chromosome 31:NC_007272.2/FR796427.1; chromosome 32:NC_007273.2/FR796428.1; chromosome 33:NC_007285.2/FR796429.1; chromosome 34:NC_007286.2/FR796430.1; chromosome 35:NC_007284.2/FR796431.1; chromosome 36:NC_007287.2/FR796432.1",,36,8316,"1998-06-29T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/002/725/GCA_000002725.2_ASM272v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/725/GCF_000002725.2_ASM272v2"
"Trypanosoma cruzi","Eukaryota;Protists;Kinetoplasts","CL Brener","SAMN02953627","PRJNA11755","GCA_000209065.1","Scaffold",89.9375,51.7,,"AAHK01",29495,19607,"2005-07-14T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/209/065/GCA_000209065.1_ASM20906v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/209/065/GCF_000209065.1_ASM20906v1"
"Giardia lamblia ATCC 50803","Eukaryota;Protists;Other Protists","WB C6","SAMN02952905","PRJNA1439","GCA_000002435.1","Scaffold",11.2136,49.2,,"AACB02",92,6502,"2003-03-26T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/002/435/GCA_000002435.1_GL2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/435/GCF_000002435.1_GL2"
"Entamoeba histolytica HM-1:IMSS","Eukaryota;Protists;Other Protists","HM-1:IMSS","SAMN02953605","PRJNA142","GCA_000208925.2","Scaffold",20.8354,24.3,,"AAFB02",1529,8163,"2004-12-09T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/208/925/GCA_000208925.2_JCVI_ESG2_1.0","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/208/925/GCF_000208925.1_JCVI_ESG2_1.0"
"Trypanosoma brucei gambiense DAL972","Eukaryota;Protists;Kinetoplasts","Dal 972 clone 1 (MHOM/CI/86/DAL972)","SAMEA2272188","PRJEA40697","GCA_000210295.1"," Chromosome",22.1481,47.1525,"chromosome 1:NC_026734.1/FN554964.1; chromosome 2:NC_026735.1/FN554965.1; chromosome 3:NC_026736.1/FN554966.1; chromosome 4:NC_026737.1/FN554967.1; chromosome 5:NC_026738.1/FN554968.1; chromosome 6:NC_026739.1/FN554969.1; chromosome 7:NC_026740.1/FN554970.1; chromosome 8:NC_026741.1/FN554971.1; chromosome 9:NC_026742.1/FN554972.1; chromosome 10:NC_026743.1/FN554973.1; chromosome 11:NC_026744.1/FN554974.1",,11,9822,"2009-10-14T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/210/295/GCA_000210295.1_ASM21029v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/210/295/GCF_000210295.1_ASM21029v1"
"Eimeria tenella","Eukaryota;Protists;Apicomplexans","Houghton","SAMEA3138819","PRJEB4863","GCA_000499545.1","Scaffold",51.8944,51.0796,"apicoplast Pltd:NC_004823.1/AY217738.1","CBUW01",4665,8609,"2013-10-30T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/499/545/GCA_000499545.1_ETH001","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/499/545/GCF_000499545.2_ETH001"
"Cryptosporidium parvum Iowa II","Eukaryota;Protists;Apicomplexans","Iowa type II","SAMN02952908","PRJNA144","GCA_000165345.1"," Chromosome",9.10232,30.2256,"chromosome 1:NC_006980.1/CM000429.1; chromosome 2:NC_006981.1/CM000430.1; chromosome 3:NC_006982.1/CM000431.1; chromosome 4:NC_006983.1/CM000432.1; chromosome 5:NC_006984.1/CM000433.1; chromosome 6:NC_006985.1/CM000434.1; chromosome 7:NC_006986.1/CM000435.1; chromosome 8:NC_006987.1/CM000436.1","AAEE01",8,7610,"2004-04-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/165/345/GCA_000165345.1_ASM16534v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/165/345/GCF_000165345.1_ASM16534v1"
"Toxoplasma gondii ME49","Eukaryota;Protists;Apicomplexans","ME49","SAMN00255192","PRJNA28893","GCA_000006565.2"," Chromosome",65.6681,52.2873,"chromosome Ia:NC_031467.1/CM002034.1; chromosome Ib:NC_031468.1/CM002035.1; chromosome II:NC_031469.1/CM002036.1; chromosome III:NC_031470.1/CM002037.1; chromosome IV:NC_031471.1/CM002038.1; chromosome V:NC_031472.1/CM002039.1; chromosome VI:NC_031473.1/CM002040.1; chromosome VIIa:NC_031474.1/CM002041.1; chromosome VIIb:NC_031475.1/CM002042.1; chromosome VIII:NC_031476.1/CM002043.1; chromosome IX:NC_031477.1/CM002044.1; chromosome X:NC_031478.1/CM002045.1; chromosome XI:NC_031479.1/CM002046.1; chromosome XII:NC_031480.1/CM002047.1; apicoplast Pltd:NC_001799.1/U87145.2","ABPA02",2277,8318,"2008-05-20T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/006/565/GCA_000006565.2_TGA4","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/006/565/GCF_000006565.2_TGA4"
"Plasmodium berghei ANKA","Eukaryota;Protists;Apicomplexans","ANKA","SAMEA736069","PRJNA317456","GCA_900002375.1"," Chromosome",18.5607,22.2913,"chromosome 1:NC_036159.1/LK023116.1; chromosome 2:NC_036160.1/LK023117.1; chromosome 3:NC_036161.1/LK023118.1; chromosome 4:NC_036162.1/LK023119.1; chromosome 5:NC_036163.1/LK023120.1; chromosome 6:NC_036164.1/LK023121.1; chromosome 7:NC_036165.1/LK023122.1; chromosome 8:NC_036166.1/LK023123.1; chromosome 9:NC_036167.1/LK023124.1; chromosome 10:NC_036168.1/LK023125.1; chromosome 11:NC_036169.1/LK023126.1; chromosome 12:NC_036170.1/LK023127.1; chromosome 13:NC_036171.1/LK023128.1; chromosome 14:NC_036172.1/LK023129.1; mitochondrion MIT:LK023131.1; mitochondrion MT:NC_015303.1/AB558173.1; apicoplast API:LK023130.1; apicoplast Pltd:NC_030892.1/LT608151.1",,100,4928,"2014-08-27T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/002/375/GCA_900002375.1_PBANKA01","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/002/375/GCF_900002375.1_PBANKA01"
"Plasmodium falciparum 3D7","Eukaryota;Protists;Apicomplexans","3D7","","PRJNA430688","GCA_000002765.1"," Chromosome",23.2703,19.363,"chromosome 1:NC_004325.1/AL844501.1; chromosome 2:NC_000910.2/AE001362.1; chromosome 3:NC_000521.3/AL844502.1; chromosome 4:NC_004318.1/AL844503.1; chromosome 5:NC_004326.1/AL844504.1; chromosome 6:NC_004327.2/AL844505.1; chromosome 7:NC_004328.2/AL844506.2; chromosome 8:NC_004329.2/AL844507.2; chromosome 9:NC_004330.1/AL844508.1; chromosome 10:NC_004314.2/AE014185.2; chromosome 11:NC_004315.2/AE014186.2; chromosome 12:NC_004316.3/AE014188.3; chromosome 13:NC_004331.2/AL844509.2; chromosome 14:NC_004317.2/AE014187.2; mitochondrion MT:AJ276844.1",,15,5339,"1998-12-17T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/002/765/GCA_000002765.1_ASM276v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/765/GCF_000002765.3_ASM276v1"
"Plasmodium chabaudi chabaudi","Eukaryota;Protists;Apicomplexans","AS","SAMEA768774","PRJEB5711","GCA_900002335.1"," Chromosome",18.8678,23.6106,"chromosome 1:NC_030101.1/LK022878.1; chromosome 2:NC_030102.1/LK022879.1; chromosome 3:NC_030103.1/LK022880.1; chromosome 4:NC_030104.1/LK022881.1; chromosome 5:NC_030105.1/LK022882.1; chromosome 6:NC_030106.1/LK022883.1; chromosome 7:NC_030107.1/LK022884.1; chromosome 8:NC_030108.1/LK022885.1; chromosome 9:NC_030109.1/LK022886.1; chromosome 10:NC_030110.1/LK022887.1; chromosome 11:NC_030111.1/LK022888.1; chromosome 12:NC_030112.1/LK022889.1; chromosome 13:NC_030113.1/LK022890.1; chromosome 14:NC_030114.1/LK022891.1; mitochondrion MIT:NW_015971901.1/LK022893.1; apicoplast Pltd:NC_023293.1/HF563595.1",,39,5158,"2014-08-27T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/002/335/GCA_900002335.1_PCHAS01","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/002/335/GCF_900002335.2_PCHAS01"
"Plasmodium knowlesi strain H","Eukaryota;Protists;Apicomplexans","H","SAMEA2272753","PRJEA28803","GCA_000006355.1"," Chromosome",23.4622,39.1684,"chromosome 1:NC_011902.1/AM910983.1; chromosome 2:NC_011903.1/AM910984.1; chromosome 3:NC_011904.1/AM910985.1; chromosome 4:NC_011905.1/AM910986.1; chromosome 5:NC_011906.1/AM910987.1; chromosome 6:NC_011907.1/AM910988.2; chromosome 7:NC_011908.1/AM910989.1; chromosome 8:NC_011909.1/AM910990.1; chromosome 9:NC_011910.1/AM910991.1; chromosome 10:NC_011911.1/AM910992.1; chromosome 11:NC_011912.1/AM910993.1; chromosome 12:NC_011913.1/AM910994.1; chromosome 13:NC_011914.1/AM910995.1; chromosome 14:NC_011915.1/AM910996.2",,14,5101,"2008-07-04T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/006/355/GCA_000006355.1_ASM635v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/006/355/GCF_000006355.1_ASM635v1"
"Plasmodium vivax","Eukaryota;Protists;Apicomplexans","Salvador I","SAMN02953638","PRJNA150","GCA_000002415.2"," Chromosome",27.0137,42.2825,"chromosome 1:NC_009906.1/CM000442.1; chromosome 2:NC_009907.1/CM000443.1; chromosome 3:NC_009908.2/CM000444.2; chromosome 4:NC_009909.1/CM000445.1; chromosome 5:NC_009910.1/CM000446.1; chromosome 6:NC_009911.1/CM000447.1; chromosome 7:NC_009912.1/CM000448.1; chromosome 8:NC_009913.1/CM000449.1; chromosome 9:NC_009914.1/CM000450.1; chromosome 10:NC_009915.1/CM000451.1; chromosome 11:NC_009916.1/CM000452.1; chromosome 12:NC_009917.1/CM000453.1; chromosome 13:NC_009918.1/CM000454.1; chromosome 14:NC_009919.1/CM000455.1; mitochondrion MT:NC_007243.1/AY598140.1","AAKM01",2748,5392,"2005-09-20T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/002/415/GCA_000002415.2_ASM241v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/415/GCF_000002415.2_ASM241v2"
"Babesia bovis","Eukaryota;Protists;Apicomplexans","T2Bo","SAMN02953679","PRJNA18731","GCA_000165395.1"," Chromosome",8.17971,41.6127,"chromosome 2:NC_010574.1/AAXT01000003.1; chromosome 3:NC_010575.1/AAXT01000001.1; mitochondrion MT:NC_009902.1/EU075182.1; apicoplast API:NC_011395.1/AAXT01000007.1","AAXT01",14,3706,"2007-08-06T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/165/395/GCA_000165395.1_ASM16539v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/165/395/GCF_000165395.1_ASM16539v1"
"Theileria annulata","Eukaryota;Protists;Apicomplexans","Ankara isolate clone C9","SAMEA3138180","PRJNA153","GCA_000003225.1"," Chromosome",8.35812,32.5492,"chromosome 1:NW_001091929.1/CR940347.1; chromosome 2:NC_011099.1/CR940348.1; chromosome 3:NC_011100.1/CR940352.2; chromosome 4:NC_011098.1/CR940353.1",,8,3795,"2005-05-15T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/003/225/GCA_000003225.1_ASM322v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/003/225/GCF_000003225.3_ASM322v1"
"Theileria parva","Eukaryota;Protists;Apicomplexans","Muguga","SAMN02953620","PRJNA16138","GCA_000165365.1"," Chromosome",8.34761,34.0411,"chromosome 1:NC_007344.1/AAGK01000001.1; chromosome 2:NC_007345.1/AAGK01000002.1; apicoplast Pltd:NC_007758.1/AAGK01000009.1","AAGK01",9,4061,"2005-06-30T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/165/365/GCA_000165365.1_ASM16536v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/165/365/GCF_000165365.1_ASM16536v1"
